id,artist_name(s),song_name,popularity,explicit?,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
4cmYmODRd7HVBo73Wkre7H,['demahjiae'],Why the Stars Won't Reach Us,25,True,0.401,0.57,0.079,0.05,0,0.5,0.615
0HKReimiU37beiBlMo0nTO,['demahjiae'],Divinity,17,True,0.491,0.674,0.349,0.0732,0,0.775,0.577
1IeXMgM5JKPvqywtJCHkax,"['demahjiae', 'Chris Keys', 'Zeroh']",Love I & the Color of Bone,13,True,0.337,0.709,0.33,0.0507,0,0.467,0.543
5HAOESzoflNb7DxBHy8eY8,['demahjiae'],Deborah Shelby,12,True,0.526,0.394,0.238,0.698,0.00114,0.159,0.551
37DHlKG1wVZF92zQzqUtbL,['demahjiae'],Ironclad,14,True,0.403,0.658,0.0874,0.638,0,0.671,0.732
41cG0nxpmdWMssIR4MxHiD,"['demahjiae', 'Navy Blue']",Always and Forever,12,True,0.433,0.664,0.462,0.412,0,0.201,0.62
3SttDmDBwjNLfQBrkWq2gE,"['demahjiae', 'Mejiwahn', 'Michael Sneed', 'Pink Siifu']",Wild & Fireflies,15,True,0.386,0.747,0.387,0.296,0,0.313,0.688
1HuogtSvYmZJ6YNV2lnVjG,"['demahjiae', 'Ovrkast.']",Idgaf,22,True,0.509,0.884,0.356,0.0847,0.00277,0.158,0.385
6WABDaEekjBftJWlUdaW0M,['demahjiae'],Scared,13,True,0.645,0.583,0.377,0.399,0,0.14,0.607
6Iqvn6SLunL3TEAex53e45,['demahjiae'],Baby Teeth,9,True,0.496,0.653,0.466,0.593,0.77,0.272,0.565
1EKsvIPZMrkhtVvXkt5Jsz,['demahjiae'],Love II,25,True,0.495,0.719,0.28,0.329,4.44e-06,0.502,0.59
2HT65a0BdTafQBfTHwzplz,['demahjiae'],Such Is Life.,15,True,0.561,0.708,0.406,0.542,0,0.334,0.533
5Yk9j1JCyXXTp4vnweSTN6,"['demahjiae', 'Elujay']",1178,15,True,0.652,0.659,0.175,0.0505,0,0.113,0.524
21fobU66pofonIwqRpxM92,['demahjiae'],815,12,True,0.629,0.761,0.323,0.107,0,0.121,0.589
2aZpPCaSYBIXkXTBO1YIaa,['demahjiae'],Hold Me Down,18,True,0.682,0.495,0.216,0.0149,1.31e-06,0.219,0.353
0fTxYioK4L4NGui9mCBKE6,"['demahjiae', 'Zeroh']",X,8,True,0.638,0.608,0.3,0.221,9.69e-05,0.413,0.579
5akbIyoY66oMuz91tkb48c,['demahjiae'],promise park,7,True,0.542,0.821,0.374,0.401,0,0.191,0.562
0SljvxIsrxh60EXEJorq6O,['demahjiae'],Labor of Love,7,True,0.686,0.841,0.334,0.117,0,0.0751,0.57
3mq3bL0rQL8Nmbi2ihLVSs,['demahjiae'],Shine,7,True,0.609,0.748,0.328,0.11,0,0.111,0.813
74C6LxyVhFWkgFNTkD3G26,"['demahjiae', 'Michael Sneed']",All Day,6,False,0.559,0.71,0.331,0.049,1.27e-06,0.331,0.24
4bgD1p7igtOGTdHJY4g5vQ,['demahjiae'],1 4 Granny,6,True,0.614,0.576,0.354,0.0544,0,0.15,0.444
0yoboDyTXEJbkwYCLzkykI,"['demahjiae', 'Zeroh']",AWB,7,True,0.569,0.878,0.288,0.141,0,0.209,0.355
0seoCAiyO4Xv3L1dEDJY3h,"['demahjiae', 'Ovrkast.']",Lord,16,True,0.469,0.563,0.317,0.0304,0,0.182,0.696
2Dvwj6jJnad6JqEBCy9Sme,['demahjiae'],1 4 Granny,7,True,0.618,0.439,0.424,0.0351,0,0.16,0.437
5YDXHolYBmhBrr9O9NPLZd,['demahjiae'],"1 4 Granny (Live in Manchester, 2022)",1,True,0.685,0.458,0.617,0.258,0,0.431,0.443
7ho3SiDweucE0kgR2WXHKC,['demahjiae'],1 4 Granny - Instrumental,1,False,0.547,0.221,0.235,0.163,0.628,0.126,0.335
2ZXb5uXCI27VPapH3IbjPz,['Psymun'],L.O.V.I.N,3,False,0.351,0.518,0.124,0.357,0.802,0.351,0.202
6Y9JFYyGCcD34RJ7gTMcQM,"['Psymun', 'Chester Watson']",NIGHT OWL,28,True,0.451,0.728,0.254,0.618,0,0.592,0.892
7a0Xkfya9IuUBttkx7DlcF,['Psymun'],sittentalkenboutb_______,3,False,0.337,0.721,0.245,0.527,0.0544,0.896,0.42
7cw78o5sDZJMoFdr9VTphi,['Psymun'],rang tone,4,False,0.628,0.584,0.438,0.128,0.154,0.129,0.947
5KT5z73p0slsJcgl7j3YiX,"['Psymun', 'Chester Watson']",Flourescent Hills,11,True,0.324,0.691,0.414,0.516,6.2e-06,0.625,0.519
4fIRhs7ayN8aWSiFT28UsX,['Psymun'],on Deck,4,True,0.659,0.812,0.419,0.961,0.915,0.118,0.845
3uo43yicRYgkKFJCjD4AXb,['Psymun'],kung,3,False,0.646,0.854,0.647,0.0783,0.000156,0.412,0.434
567zi1YzECDGyIB9dln8nE,['Psymun'],marYlin mst,4,False,0.688,0.684,0.797,0.243,0.621,0.149,0.875
08RVh5fMRzDdGgYnWRqebV,['Psymun'],meltwater,2,False,0.695,0.517,0.0724,0.78,0.904,0.119,0.875
6wcRfllz1gIxMpiU5WDAni,"['Psymun', 'Chester Watson']",Genbu [Otoh Gunga],10,True,0.339,0.739,0.279,0.63,6.45e-06,0.615,0.581
45M81nof32ECjJooZtXGct,['Psymun'],loTion,1,False,0.618,0.935,0.592,0.0796,0.968,0.311,0.692
1xP57iPdjKXovg1Ir3Z32X,"['Psymun', 'Chester Watson']",Fumes,8,True,0.557,0.75,0.34,0.215,0,0.749,0.659
6QxI3QNZZaIvsqRH7br9Px,['Psymun'],i dono shit about love,2,False,0.448,0.663,0.402,0.00875,0.0775,0.408,0.492
4nRPdBpmcSXQ3V1ngOQEFm,['Psymun'],HAIR DYE,2,False,0.364,0.602,0.0539,0.0202,0.813,0.113,0.527
0ul9L30U72etu5WgzDA4oq,['Psymun'],goochsurgery,2,False,0.591,0.358,0.106,0.417,0.0962,0.359,0.442
2RQrB7gMrNe7FPIMOEny84,"['Psymun', 'Chester Watson', 'Kent Loon']",Hidden Treasure,8,True,0.456,0.538,0.117,0.22,0,0.143,0.876
7kcSBDtPoNePoPkyRZRrl7,['Psymun'],cambodia,1,False,0.347,0.545,0.0318,0.766,0.956,0.179,0.421
58onIlmLeeEwH15pknnC2m,['Psymun'],life_sux,1,True,0.677,0.423,0.394,0.585,0.000141,0.366,0.758
72Csvb0SKEAtL8sM4Ik7j7,['Psymun'],Park my carr,2,False,0.531,0.419,0.313,0.673,0.00955,0.702,0.283
